[7, 14, 21, 28, 35, 42, 49, 56, 63, 70]
[8, 16, 24, 32, 40, 48, 56, 64, 72, 80]
[11, 22, 33, 44, 55, 66, 77, 88, 99, 110]
[12, 24, 36, 48, 60, 72, 84, 96, 108, 120]
[13, 26, 39, 52, 65, 78, 91, 104, 117, 130]
[14, 28, 42, 56, 70, 84, 98, 112, 126, 140]
[15, 30, 45, 60, 75, 90, 105, 120, 135, 150]
[16, 32, 48, 64, 80, 96, 112, 128, 144, 160]
[17, 34, 51, 68, 85, 102, 119, 136, 153, 170]
[18, 36, 54, 72, 90, 108, 126, 144, 162, 180]
[19, 38, 57, 76, 95, 114, 133, 152, 171, 190]
[21, 42, 63, 84, 105, 126, 147, 168, 189, 210]
[22, 44, 66, 88, 110, 132, 154, 176, 198, 220]
[23, 46, 69, 92, 115, 138, 161, 184, 207, 230]
[24, 48, 72, 96, 120, 144, 168, 192, 216, 240]
[25, 50, 75, 100, 125, 150, 175, 200, 225, 250]
[26, 52, 78, 104, 130, 156, 182, 208, 234, 260]
[27, 54, 81, 108, 135, 162, 189, 216, 243, 270]
[28, 56, 84, 112, 140, 168, 196, 224, 252, 280]
[29, 58, 87, 116, 145, 174, 203, 232, 261, 290]
